customerNumber,customerName,contactFirstName,contactLastName,city,country,creditLimit
1,"Ray, Collins and Huff",Kathryn,Odonnell,Gibsonland,Comoros,39703
2,"Avila, Aguilar and Gregory",Richard,Small,East Kelly,Greece,51478
3,"Ferrell, Harvey and Long",Erin,Larsen,East Edwardport,Anguilla,36262
4,"Jacobson, Marquez and Maxwell",Ann,Mcguire,South Jenniferton,Antigua and Barbuda,37435
5,"Hayes, Maxwell and Harris",Steven,Morales,Johnmouth,Peru,41009
6,Murphy-Morris,Christian,Crane,North Brian,Kuwait,38501
7,Brooks-Ramirez,Tina,Sanchez,South Amanda,Bouvet Island (Bouvetoya),63861
8,"Flores, King and Cunningham",Teresa,Holloway,Cameronville,Antarctica (the territory South of 60 deg S),57764
9,Arnold-Johnson,Christina,Wright,Reynoldsland,Portugal,40380
10,"Fernandez, Flynn and Baxter",Michelle,Bailey,Lake Terryport,Slovenia,56840
11,Henderson and Sons,Zachary,Clements,Christopherberg,Fiji,34343
12,"Meyer, David and Benson",Michael,Cox,South Josephland,Armenia,88151
13,Williams and Sons,Madison,Paul,Matthewtown,Falkland Islands (Malvinas),48206
14,Reed-Lam,William,Johnson,West Christine,Mauritius,9595
15,"Burke, Hughes and Gutierrez",Larry,Martinez,Westville,Iran,72881
16,Christensen Ltd,Joshua,Romero,West Shannon,Argentina,68785
17,Mcdowell-Dickerson,Christopher,Patterson,Reidborough,Jersey,49759
18,Thomas-Hernandez,John,Rodriguez,Parkchester,Jamaica,90117
19,"Cohen, Jones and Salazar",Tina,Richards,Port Philipport,Syrian Arab Republic,35460
20,Ponce LLC,Laura,Hunt,South Lindsaychester,Northern Mariana Islands,65613
21,Smith and Sons,Alexander,Drake,New Mariahaven,Svalbard & Jan Mayen Islands,52316
22,Aguirre-Haynes,Joseph,Murray,East Alexandriaberg,Rwanda,70102
23,Morris-Archer,Michael,Gonzalez,Stephenland,Slovenia,12536
24,Salazar-Montoya,Wendy,Park,South Daniel,Isle of Man,93838
25,Ramos Ltd,William,Horton,Port Dawnview,Sudan,28864
26,Bray PLC,Kristin,Collins,Jocelynhaven,Liberia,1317
27,James PLC,Brian,Kaufman,West Michael,Brunei Darussalam,65693
28,Bishop LLC,Phillip,Bryant,Port Matthewtown,Croatia,6382
29,Park LLC,Ashlee,Allen,Port Antonioborough,Norway,94345
30,Brown and Sons,Steven,Anderson,North Jesseburgh,Timor-Leste,33470
31,George PLC,Steven,Reed,Lake Cameron,Saint Vincent and the Grenadines,94313
32,Mcdonald-Anderson,Matthew,Carroll,South Robertburgh,Saint Kitts and Nevis,33391
33,"Villegas, Patterson and Walsh",Jennifer,Spencer,Mossbury,Iceland,60543
34,Bryan-Grant,Anthony,Blair,Villarrealmouth,Tanzania,50006
35,Pena LLC,Sonya,Hill,New Kristenhaven,Taiwan,74847
36,Lewis and Sons,Dylan,Gonzalez,Louisberg,Peru,85189
37,Kelly-Perkins,Daniel,Lin,New Beth,Morocco,15817
38,Diaz PLC,Curtis,Baldwin,Johnsonburgh,Myanmar,30523
39,Thomas-Martinez,Richard,Jenkins,Lake Grace,Japan,79179
40,Molina-Campbell,Carrie,Russell,Whitechester,Bouvet Island (Bouvetoya),8252
41,"Guzman, Coleman and Jackson",Kent,Richardson,Port Michelle,Burkina Faso,62107
42,"Vasquez, Clark and Perez",Robert,Williams,Lake Jameshaven,Argentina,1422
43,"Stewart, Cook and Mcneil",Donald,Raymond,Ronaldchester,Russian Federation,61409
44,Hicks PLC,Heather,Richardson,Frankfurt,Zimbabwe,47380
45,Griffin LLC,Debbie,Gomez,North Joshua,Guernsey,29691
46,"Tucker, Brown and Roberts",Patrick,Phillips,Mooreberg,Central African Republic,57639
47,Holmes Group,Rebecca,Reed,Jenniferton,Dominican Republic,86879
48,James-Bates,Tommy,Stuart,New Damon,Gibraltar,54199
